Company_Id,Company_name,Company_Size,Headquarters_State,Company_URL,Industry
C0001,Lexington Medical,1 to 50 employees, MA,http://www.lexington-med.com/,Health Care Products Manufacturing
C0002,Philz Coffee,1001 to 5000 employees, CA,http://www.philzcoffee.com/,Food & Beverage Stores
C0003,Investors Title Company,201 to 500 employees, NC,NULL,Insurance Carriers
C0004,Wichita Tribal Enterprises,51 to 200 employees, TX,NULL,NULL
C0005,ReedGroup,1001 to 5000 employees, CO,http://www.reedgroup.com/,Consulting
C0006,Navy Federal Credit Union,10000+ employees, VA,http://www.navyfederal.org/,Banks & Credit Unions
C0007,Davion Inc.,10000+ employees, IL,http://www.kraftheinzcompany.com/,Food & Beverage Manufacturing
C0008,U.S. Auto Parts,1001 to 5000 employees, CA,http://www.usautoparts.net/,Automotive Parts & Accessories Stores
C0009,National Education Partners,201 to 500 employees, AZ,http://www.nationaled.org/,Colleges & Universities
C0010,Arrow Electronics,10000+ employees, CO,http://www.fiveyearsout.com/,Wholesale
C0011,Kelly Services,5001 to 10000 employees, MI,http://www.kellyservices.com/,Staffing & Outsourcing
C0012,Ryan Specialty Group,1001 to 5000 employees, IL,http://www.ryansg.com/,Insurance Agencies & Brokerages
C0013,Honeywell,10000+ employees, NC,http://www.honeywell.com/,Computer Hardware & Software
C0014,Maximus Real Estate Partners,51 to 200 employees, CA,http://www.maximusrepartners.com/,Real Estate
C0015,CME Group,1001 to 5000 employees, IL,http://www.cmegroup.com/,Brokerage Services
C0016,TOMS,201 to 500 employees, CA,http://www.toms.com/,"Department, Clothing, & Shoe Stores"
C0017,Jam City,501 to 1000 employees, MA,http://www.syniti.com/,IT Services
C0018,Lockheed Martin,10000+ employees, MD,http://www.lockheedmartin.com/,Aerospace & Defense
C0019,Federal Reserve Bank of Dallas,1001 to 5000 employees, MA,http://www.cengage.com/,Publishing
C0020,Collective Health,201 to 500 employees, CA,http://www.collectivehealth.com/,Enterprise Software & Network Solutions
C0021,"Advanced Technology Services, Inc.",1001 to 5000 employees, IL,http://www.advancedtech.com/,Industrial Manufacturing
C0022,Major League Baseball,201 to 500 employees, GA,http://www.riskonnect.com/,Enterprise Software & Network Solutions
C0023,MorganFranklin Consulting,201 to 500 employees, VA,http://www.morganfranklin.com/,Consulting
C0024,TriNet,1001 to 5000 employees, CA,http://www.trinet.com/,Consulting
