Job_ID,job_title,job_description,Location,Company_ID
J0001,Supply Chain Analyst,"As a Supply Chain Analyst, you will play a key role in building the supply chain infrastructure at Lexington Medical and contribute to the overall growth of Lexington Medical. You will be involved in material planning and procurement, inventory management, cost control and supplier management, and have a direct impact on the companyâ€™s important metrics of delivery and quality.Our ideal candidate is sharp, hands-on, data-driven individual and interested in being part of a dynamic and exciting entrepreneurial environment.
What youâ€™ll do:
Manage inventory levels, plan and purchase customized components, commodities, raw materials and services following established procedures. Assist in Materials Requirement Planning. Process internal purchase requisitions as requested.
Provide analyses of product cost structure, identify COGS improvement opportunities. Identify opportunities to improve delivery, quality, and efficiency.
Administer supplier evaluations, scorecards, and ranking systems. Provide inputs for Quarterly Management Review. Assist in new supplier development. Assist in qualifying and monitoring suppliers, maintain an Approved Supplier List.
Work with Contract Manufacturers and Internal Operations on inventory consolidation. Partner with operations for physical inventory activities.
What you'll bring to the table:
Bachelorâ€™s degree in business or technical field of study, with an excellent GPA from a top-tier institution
Ability to multitask and thrive in a fast-paced environment

About us:
Lexington Medical, a venture-backed company founded by a seasoned team with a proven track record, is a leading provider of FDA-approved and CE Marked surgical devices to address one of the largest unmet needs in medical devices. We are extremely selective in our hiring and employ a small team of highly-talented individuals whose aim is to have a major impact. This is your opportunity to make a real difference in the lives of millions of patients worldwide.", MA,C0001
J0002,Supply Chain Analyst,"This role will Better the Days of both our internal and external customers by supporting operations across our Philz retail stores and Roasting Plant. The Supply Chain Analyst will focus on daily responsibilities such as inventory management, product catalogs, and systems admin, as well as near-term and long-term strategic initiatives. The position will work closely with key stakeholders across multiple departments including Retail Operations & Product Innovation, Strategic Sourcing, Coffee Roasting & Production Operations, Logistics & Distribution, and Finance.
We are seeking an individual with an entrepreneurial mindset who is sincere, creative, a team player, and has an affinity for data/analytics. Philz is a rapidly growing company and this role requires learning agility and an action-driven approach from day one.

â— Customer-first focus and a passion for Bettering Peopleâ€™s Days
â— 0-2 years relevant experience; Food or Retail industry experience is preferred
â— BA/BS preferably with an analytical focus (Business, Economics, Accounting, Supply Chain, etc)
â— Support timely and/or urgent data requests; ability to track and understand relevant metrics across Supply Chain and Retail functions, with a particular focus on food product assortment and sourcing, and coffee production analysis.
â— Experience with inventory modules and/or ERP Systems; Netsuite experience is preferred
â— Experience with analytics and data visualization platforms (DOMO, Tableau, Qlik, etc)
â— Strong quantitative skills. A Demonstrated data-driven approach to solving problems.
â— Knowledgeable to expert skills in Excel and PowerPoint", CA,C0002
J0003,Sr. Business Analyst,"Sr. Business Analyst
Location


NC - RTP (Morrisville)

Job Code

20-0032

# of openings

1

Apply Now

INVESTORS TITLE INSURANCE COMPANY

Senior Business Analyst / Consultant


Morrisville, NC

Investors Title Insurance Company’s engineering team is in the final stages of building a high-performing team and are looking for the right business architect / analyst to serve in cross functional roles to capitalize on business opportunities. This includes defining objectives and supporting requirements for business process and software development.
A successful candidate must be highly self-motivated, self-directed, and want to be part of an organization committed to continual improvement and organizational excellence.
Must be a leader that will provide direction, guidance and concise communications necessary to drive progress and shared understanding on projects, from individual contributors to the executive team.
Must have a track record demonstrating resourceful success in these endeavors
JOB QUALIFICATIONS AND REQUIREMENTS
ESSENTIAL
Education: B.S. degree in business administration, finance or a B.A. degree in communications or English, or equivalent experience.
Experience:
3-5 years as a BA analyzing business needs for problem resolution and documenting requirements for the software development team. 5-7 years in a team oriented, collaborate software engineering environment.
Experience in selecting vendor and software solutions that meet or exceed expectations from both project execution and business performance perspectives.
Skills:
Ability to elicit, discern, and align requirements from cross-functional stakeholders and translate them into actionable, consumable and concise documents.
Ability to learn the business at an organizational level to provide meaningful input on solutions and process improvements.
Excellent analytical, organization and creative problem-solving skills.
Proven oral and written communication skills using both technical and audience- appropriate business language.
Proven ability to manage multiple projects and competing priorities simultaneously.
Excellent meeting and workshop facilitation skills that drive to timely results; especially skilled in facilitating problem solving and decision making across diverse groups.
Ability to develop strong relationships with stakeholders and challenge thinking where appropriate throughout business design and requirements elicitation phases.
DESIRED
Experience: 3-5 years serving in a business consultancy role, working with businesses to improve processes and solve business issues. Personal experience working with insurance, real estate, mortgage banking business functions / software.
Skills: Personal experience with accounting and financial business functions / software. Excellent ability to analyze and document workflow and improve processing efficiencies.
JOB FUNCTIONS
Review, analyze and evaluate ideas, projects and opportunities to develop new products, services and business models leveraging technology as it makes sense for the business segments.
Conduct analysis to determine best options and approach for solving business problems/opportunities that may include process improvement, systems enhancement, user training, and/or software procurement.
Evaluate and present information that will facilitate effective and timely decision-making through written and oral communication materials that effectively summarize findings with recommendations.
Meet with decision makers, system owners and end users to define business, financial and operational requirements and system goals and identify and resolve system issues.
Draft and communicate project artifacts, including business cases, scope documents, full-scale project plans, requirements documents, status reports, and supporting analysis documents.
Refine customer driven requirements focusing on solutions that deliver the most strategic value to our customers at the right cost.
Evaluate and understand the experience and skill level of team members to capitalize on team strengths. Customize communications to be most effective with each audience.
Ensure that there is appropriate level of support and cooperation between project groups.
The Company

Recognized as an industry leader, Investors Title Insurance Company provides residential and commercial title insurance and innovative business solutions for our partners. The Company has been recognized with an AM Best rating of A, assigned a Financial Stability Rating of A” Unsurpassed from Demotech and a Kroll Rating of A. Working at Investors Title, you will find a dynamic and supportive culture, the training and development you need to succeed, a variety of career paths, work/life balance, and excellent benefits.

The Company is an equal opportunity employer. As such, the Company offers equal employment opportunities without regard to race, color, religion, sex (including pregnancy), national origin, age, disability, genetic information, veteran status and other protected class characteristics.", NC,C0003
J0004,Business Systems Analyst,"Wichita Tribal Enterprises, LLC. Is looking for a qualified candidate to fulfill a Business Analyst position in information technology support The Business Analysts position includes the following functions:
Develop test plans and execute test scripts based on business and functional requirements in coordination with the systems administrator and business partners.
Document process workflows and assess against current security guidelines for compliance with policies and roles and responsibilities.
Assist with the integration with external data sources and the data validation process requirements.
Conduct the yearly Operational Analysis for up to three critical steady state services per year that are supported out of the customer organization. This includes performance measures such as Customer Satisfaction, alignment with strategic and business results, financial performance and innovation. This support includes the following:
Completion of an annual Operational Analysis on steady state of the government program infrastructure critical systems identified by the government organization Business Sponsor and Investment Manager.
Development of interview questions and conducting interviews of the IT system owners, financial managers, contracting officer representatives, Enterprise Architect, end users and other identified IT system support staff to ensure as complete of understanding of the IT system’s current condition.
Development of a report of the Operational Analysis and submission of the final findings to the Business Sponsor and Investment Manager.", NM,C0004
J0005,Business Analyst II,"Do you want to be a part
of a collaborative Client Solution Delivery team?

Are you a problem
solver who enjoys doing high-level analysis, system configuration,
technical documentation, and testing and possesses good interpersonal
skills to effectively interface between technical and business teams? Is a
culture where “People Count,” “We Do the Right Thing,” and “We Hold Ourselves
to Very High Standards” important to you?

If so, ReedGroup is seeking a Business Analyst (BA) who has overall accountability for the
construction of ReedGroup’s leave administration application. The BA is
also responsible for coordinating production reviews, achieving stability of
all newly implemented projects into production, and completing the transition
to operations for ongoing support.

What you’ll do …
Work with clients to discuss business requirements, set expectations, and manage involvement in analysis activities
Translate business requirements into technical specifications for Developers and QA staff.
Serve as a technical resource to implementation and account managers in servicing their clients.
Attend client meetings to gather requirements, translate those into technical documents, and work orders.
Provide quality assurance and ensures integrity of system design and data.
Perform complex data queries and analysis and create documentation and reports.
Work with project managers and team leads in scheduling projects, end to end.
Formulate recommendations and identifies solutions and options based on analysis, data, user input and management goals.
Ensure smooth transition to production, review standard operating procedures, and provide training on newly released functionality.
Demonstrate adherence to ReedGroup values and performance guidelines.
Bachelor of Science degree in Computer Science, Business Analytics or related field.
Minimum of 4 years related experience as a business analyst.
Experience working within an Agile process
Understanding of integrated systems, process diagramming, and analysis.
Excellent communications and customer service skills.
Professional client presence, influencing and active listening skills.
Demonstrated ability to quickly acquire extensive subject matter expertise.
Demonstrated ability to explain complex data concepts to non-technical people.
Location:

Westminster, CO | United States
Up to 10> travel within US
Our promise:

At ReedGroup,
you’ll have the support and flexibility to achieve your professional and
personal goals.

Through skill-building, leadership
development and philanthropic opportunities, we provide opportunities to build
communities and grow your career, surrounded by diverse colleagues with high
ethical standards

We offer:

Meaningful and
challenging work opportunities to accelerate technology and innovation in a
secure and compliant way

Competitive
compensation

Excellent medical,
dental, supplemental health, life and vision coverage for you and your
dependents with no wait period

Life and disability
insurance

A great 401(k) with
match

Tuition assistance,
paid parental leave and backup family care

Dynamic, modern
work environments that promote collaboration and creativity

Flexible time off,
dress code, and work location policies to balance your work and life in the
ways that suit you best

Social
responsibility in all aspects of our work. We volunteer within our local
communities, create educational alliances with colleges, drive a variety of
initiatives in sustainability, and advocate for diversity and inclusion in all
that we do.

A work-life
balance:

We recognize the
importance of a work life balance. We promote healthy lifestyles and
flexible work arrangements for our employees.

About ReedGroup:

As the largest
exclusive provider of absence management services, ReedGroup has been dedicated
to helping employees return to work safely for more than 35 years. We create a
seamless experience so clients can excel at their jobs and better serve their
employees – supporting a thriving, engaged, and skilled workforce.

ReedGroup is a
wholly-owned, independent subsidiary of The Guardian Life Insurance Company –
providing even more ways we can better serve people. Guardian has been helping
people protect their futures and secure their lives for more than 150 years,
and today serves 27 million people by helping them find financial confidence
and well-being in life, health, and wealth. And as one of the largest mutual
insurance companies, we know what matters most: putting the needs of
customers first.

ReedGroup is an
equal opportunity employer. Qualified applicants will receive consideration for
employment without regard to race, color, religion, sex, national origin,
sexual orientation, gender identity, disability, protected veteran status or
any other status protected by applicable law.", CO,C0005
J0006,Business Operations Analyst I/II (Business Intelligence & Data Science),"YOUR LIFE'S MISSION: POSSIBLE

You have goals, dreams, hobbies and things you’re passionate about.

What’s Important to You Is Important to Us
We’re looking for people who not only want to do meaningful, challenging work, keep their skills sharp and move ahead, but who also take time for the things that matter to them—friends, family and passions. And we're looking for team members who are passionate about our mission—making a difference in military members' and their families' lives. Together, we can make it happen.

Don’t take our word for it.
FORTUNE 100 Best Companies to Work For®
Computerworld® Best Places to Work in IT
FORTUNE® Best Workplaces for Millennials
Forbes® America’s Best Employers
PEOPLE® Companies That Care
Basic Purpose

Lending Analytics Business Intelligence and Data Science team is seeking a leader who enjoys transforming data into insights! The ideal candidate has a passion for data analysis, technology and helping people leverage technology to transform business and reporting processes. As a Business Operations Analyst, you will be part of a dynamic cross-functional team that is responsible for providing analysis of lending product performance within a risk framework including new business, portfolio management, loss mitigation, and developing innovative reporting and analysis solutions to support the achievement of strategic risk management goals.

Responsibilities include:
Building partnerships with business units and developing technical solutions for reporting and analytic needs
Participation in the full life cycle of a project including requirements, prototyping, design, development, testing and implementation
Assessing data flow processes and identifying areas for further automation and optimization
Leading working sessions with dynamic cross-functional team to develop dashboards
Performing data profiling and data blending by combining data from multiple data sources using SQL, SAS, SPSS, JMP, R, Python, Tableau or Power BI
Developing accurate and insightful visualizations for dashboards
Preparing data, reports, agenda and themes for strategic risk management (SRM) presentations
Nimble problem solving and willingness to do “whatever it takes” to deliver business value quickly
Leading training sessions for business users and teammates
Researching and reading about new technology in business intelligence and machine learning
Qualifications:
Minimum of 1-2 years of experience developing analytics reporting solutions using Tableau, Power BI or other business intelligence and dashboard design software
Minimum of 1-2 years of experience writing SQL for report development and optimizing query performance
Lending product knowledge and experience in at least one product including credit cards, consumer loans, education lending and/or mortgage and equity
Experience in statistics, modeling, machine learning, forecasting and cost benefit analysis
Knowledge of data transformation, modeling and/or ETL tools such as SAS, SPSS, JMP, R, Python, Tableau Prep or Alteryx
Ability to use various data analysis techniques to collect, explore, and identify the right data to be visualized in a business intelligence tool
Creative mind and eye for design with prior UX/UI experience and knowledge of reporting and dashboard best practices and visualization standards
Ability to perform data discovery, validation and find patterns and relationships in data
Organizational skills and the ability to multi-task by prioritizing assignments and working independently to ensure work is completed on schedule and
BS Degree in Finance, Computer Science or related field
Desired Qualifications:
Advanced Degree in Data Analytics, Computer Science or related field
Hours: Monday - Friday, 8:00AM - 4:30PM

Location: 820 Follin Lane, Vienna, VA (HQ)
Equal Employment Opportunity

Navy Federal values, celebrates, and enacts diversity in the workplace. Navy Federal takes affirmative action to employ and advance in employment qualified individuals with disabilities, disabled veterans, Armed Forces service medal veterans, recently separated veterans, and other protected veterans. EOE/AA/M/F/Veteran/Disability

Disclaimer

Navy Federal reserves the right to fill this role at a higher/lower grade level based on business need.

Bank Secrecy Act

Remains cognizant of and adheres to Navy Federal policies and procedures, and regulations pertaining to the Bank Secrecy Act.

]]>", VA,C0006
J0007,"Analyst, Supply Chain Finance","Kraft Heinz, The Company

As one of the worldâ€™s largest food and beverage companies, we are proud to spark joy around mealtimes with a global portfolio of more than 200 brands. Some are iconic master brands like Heinz, Kraft and Planters. Others are fast growing new sensations that defy status quo like DEVOUR and Primal Kitchen. No matter the brand, we are united under one vision To Be the Best Food Company, Growing a Better World. Bringing this vision to life are our 36,000+ teammates around the world, making food people love.

Together, we help provide meals to those in need through our global partnership and commitment with Rise Against Hunger. And we also stand committed to sustainability, and the health of our planet and its people.

Every day, we are transforming the food industry with bold thinking and unprecedented results. If youâ€™re passionate like us -- and ready to create the future, build on a storied legacy, and participate as a conscientious global citizen -- thereâ€™s one thing to do join us.

Our Culture of Ownership, Meritocracy and Collaboration

Weâ€™re not afraid to think differently. Embrace new ideas. Dream big. It all comes down to the way we empower our people to own their work. Itâ€™s true Our employees are our competitive advantage.

As part of the Kraft Heinz family youâ€™re supported to grow and achieve. Youâ€™re recognized and rewarded for outstanding performance at every level. Youâ€™re given the opportunity to leave your mark and build legacies. But you wonâ€™t do it alone. This is where our values and teamwork thrives and collaborative spirit fuels every day.

Job Description


Role
The Analyst, Finance â€“ Manufacturing Capabilities will be a key finance role to support the company's efforts to deliver savings commitments throughout Manufacturing operations. This role reports to the Lead, Finance â€“ Manufacturing Capabilities and will work to increase visibility into manufacturing performance across Kraft Heinzâ€™s 40+ factories. The Sr. Analyst will work under the direction of the Associate Director and will create optimal processes and tools and initiate analytical projects to identify savings opportunities and lead the teams to deliver on savings commitments. The Sr. Analyst will also assist in the budget, forecast, and results reporting process.

Key Components of the Role
Establish efficient financial processes (monthly results reporting, budgeting, forecasts)
Create financial models and implement supporting tools
Gather market data to analyze trends and benchmarks
Participate in the annual budget process and monthly forecast process; focused on identifying risks and opportunities
Lead analytical projects to identify potential savings, partner with package owners and manufacturing finance leads to deliver savings across plants
Partner with factory teams as assigned to integrate budgets and forecasts into business review
Support factory results roll up to consolidated Manufacturing Pod results. Review report submissions from factories and challenge assumptions and forecasts
Assist Lead with consolidating the monthly Manufacturing results deck for leadership review
Qualifications:
Bachelorâ€™s degree required in Engineering, Business, Finance, Economics or Accounting preferred
Minimum 2 yearsâ€™ Excel mastery and financial systems acumen
Minimum 2 yearsâ€™ Financial Planning / Forecasting experience
Previous programming experience with VBA, R, SQL, Java, Python is desired, but not essential
Influencing skills and ability to work across the organization required
Excellent written and verbal communication skills required
Location(s)
Chicago/Aon Center
Equal Opportunity Employerâ€“minorities/females/veterans/individuals with disabilities/sexual orientation/gender identity", IL,C0007
J0008,Financial Business Analyst,"The Financial Business Analyst will report to the VP of Financial Planning & Analysis and be responsible for evaluating financial data integrity across multiple systems and platforms. The analyst will examine data, build out models and provide analysis that is actionable for sales, margin, freight, OPEX and other KPI metrics.
Responsibilities:
Financial data gathering, data validation and manipulation
Create dashboards that provide actionable insight for end users
Gathering and reviewing internal and external data to create detailed operational and financial projections and analysis for business stake holders
Performing financial analysis relating to forecast vs. actual
Develop and quantify KPIs to measure each business unit
Conduct exploratory data mining and analysis to understand customer engagement and retention and conduct A/B test for various deployments designed to improve the customer experience
Coordinating input from various functional areas within the company, including marketing and operations, and taking the lead on the overall drafting and preparation of the materials.
Assisting with preparation of any other necessary materials for company meetings.
Providing overall general support to the company’s FP&A team, as well as occasional support to other members of the senior leadership team, which can include market research, data gathering and compilation, reporting on company portfolio and statistics, and other day-to-day activities related to the financials of the company
Additional support will include occasional assistance with meeting coordination, travel planning, and general overall support with various ad hoc requests that arise from time to time.
Education & Other Minimum Requirements:
Bachelor’s Degree preferred. Business Systems background is a plus.
3-5 years of experience either a financial or business support analytical role.
Excellent skills in Microsoft Office Suite, in particular Microsoft Excel .
Experience with Business Intelligence tools (Tableau, SAP Business Objects, Looker) is a plus.
Experience with working large data sets using SQL, MYSQL
Ability to understand financial and/or cash flow models and concepts.
Ability to solve problems and resolve conflicts to achieve a positive outcome.
Excellent time management and organizational skills, as well as attentiveness to details and a commitment to follow up. Able to effectively manage several tasks in a fast-paced environment.
Ability to maintain confidentiality.
Strong communication skills.", CA,C0008
J0009,Business Data Analyst,"What We Are Looking For

NEP is currently seeking a dynamic individual to become part of our Analytics team as a Business Data Analyst.

This position is responsible for fulfilling the information requests of key decision makers within the University by directly querying against the SQL database, ensuring the accuracy and relevance of that information, and providing access to information in a seamless and timely manner in the form of data extracts, SSRS reports, BI Reports, dashboards, and analytics. The Business Data Analyst interprets results using a variety of techniques, ranging from simple data aggregation to complex data mining. Designs, develops, implements and maintains business solutions. This position also fulfills information and data requests from external stakeholders.

NEP will not sponsor applicants for work visas or STEM-OPT.

Essential Functions
Uses Structured Query Language (SQL) to gather and assess data from the reporting database, transactional database, operational data store, and external systems to assist university leadership in decision making.
Supports the University’s continuous quality improvement efforts through the use of performance metrics development and monitoring.
Continually assesses data quality throughout the database and coordinates with IT in the correction of source data or creation of translation sources, where applicable.
Continually researches and identifies best practices for business data analysis via published literature, formalized training and professional development efforts.
Authenticates and interprets data based on results using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining.
Communicates and disseminates the results of information gathering using BI software, SSRS, and Excel.
Collects and reports data in adherence to Federal and State reporting requirements.
Perform other duties as assigned
Reasonable and consistent attendance to fulfill requirements of the position
Knowledge, Skills, and Abilities
Expert in SQL query writing.
Familiarity with push button reporting solutions – Microsoft SQL Server Reporting Studio (SSRS) highly preferred.
Proficient in Visual Studio.
Expert in Excel pivot tables and charts.
Ability to work closely with business owners to determine meaningful metrics and fulfill reporting needs.
Ability to work closely with IT to develop database structure.
Work with senior leadership to create and analyze reports and ad hoc data requests for decision making.
Skill in operating equipment, such as personal computer, fax, copier, phone system.
Ability to work in a team-oriented environment.
Ability to communicate clearly to a variety of constituents in both verbal and written communication.
Attention to detail, highly organized, and ability to execute multiple initiatives within budgeted timeframes.Proficient with Microsoft Word and other applications in the Microsoft Office suite
Education and Experience
Bachelor's degree with focus in business or related field required
Minimum of 2-3 years of experience conducting data analyses, developing metrics, and creating reports required
Proficient in query design, generation, and reporting; SQL and SSRS (2008 SQL Server Reporting Services) required.
Experience with the online delivery of education preferred.
Experience in higher education preferred
Experience working in a technology-driven enterprise preferred
All skills, abilities and education will be considered for minimum qualifications
Physical Demands

The physical demands described here are representative of those that must be met by a team member to perform the essential functions of this job successfully. The physical requirements for performing the essential functions of this position require the team member to be able to:
Able to sit, stand, kneel, walk, and reach.
Able to lift, push, pull, and/or move up to 20 pounds.
Hear well enough to communicate with others.
Read a computer screen and written material.
Write, type, and use phone system.
Working Conditions

This position operates in a professional office environment. This role routinely uses standard office equipment such as computers, phones, photocopiers, filing cabinets and fax machines.

• Good working environment with the absence of disagreeable conditions.

• The noise level in the work environment is usually moderate.

• Regular and reliable attendance is required.

NEP will not sponsor applicants for work visas.

Who We Are

National Education Partners (NEP) provides premier online program management (OPM) services for leading educational institutions. NEP offers a rich history of delivering traditional academic operations support in areas such as finance, human resources, enrollment, financial aid, marketing, information technology and much more. Today, NEP is the OPM of record for Northcentral University (NCU), which offers doctoral, master’s and bachelor’s degrees in business, technology, education, and psychology, as well as doctoral and master’s degrees in healthcare and marriage and family therapy. NEP also provides online services to John F. Kennedy University. Both NEP and NCU are part of the National University System, a system of nonprofit universities with its headquarters in La Jolla, California.", AZ,C0009
J0010,Senior Financial Analyst - Global Supply Chain,"Position:
Senior Financial Analyst - Global Supply Chain
Job Description:


Supply Chain Finance Sr. Analyst Position Description

In order to address business continuity risk with the current resources and build out talent within the Global Supply Chain Finance team as part of the newly created Global Components Finance team, the team is seeking Senior Financial Analyst with prior experience in the Global Supply Chain Finance organization of large company.

The Sr. Financial Analyst will work with Arrow Global Supply Chain organization to provide global financial reporting and analysis across multiple Business Units and regions. This position reports to the Supply Chain Finance Manager and is a key business partner to our Director & VP level operations leaders in managing their P&Ls and budgets. The role will provide analysis of the organizations financial performance against plan and forecast, perform monthly budget variance analysis and will prepare financial reports, charts, and other project analytics as necessary.

This role is expected to identify the opportunities and drive process improvements within Supply Chain Finance organization; create executive level analytics and reporting that track, identify trends and root causes and enable senior level leaders to make informed decisions to drive improved financial and operational performance. Prior experience within Supply Chain and Logistics is a must; preferably with experience within a large global manufacturing or distribution environment. This position requires 7+ years of Supply Chain experience.

The perfect candidate would be a self-motivated analytical thinker with superb communication skills that would drive results with little to no supervision. Other success factors for this role include being experienced in driving change in a fast-paced dynamic environment, responding to issues and request with a sense of urgency, ability to multi-task, being resourceful and having a global mindset.

What Will Help You Succeed Even More
Experience supporting distribution, manufacturing, and/or production service businesses
5+ years of experience in business analytics
Advanced degree and financial certifications (MBA, MSF, CFA, CPA, etc.) a plus
Advanced Microsoft Office skills MS Excel, MS Power Point
SQL and Power BI proficiency are a plus
Global experience
Fortune 200 Business Finance / FP&A experience
Experience managing cross functional projects
Whats In It For You

At Arrow, we recognize that financial rewards and great benefits are important aspects of an ideal job. Thats why we offer competitive financial compensation, including various compensation plans, and a solid benefits package (http://benefits.arrow.com)
Medical, Dental, Vision Insurance
401k, With Matching Contributions
Paid Time Off
Health Savings Account (HSA)/Health Reimbursement Account (HRA) Options
Growth Opportunities
Short-Term/Long-Term Disability Insurance
Discounted RTD Passes, with convenient office location off RTD Light Rail (Dry Creek Exit)
On-site CafÃ© with Catering Option for Busy Lifestyles
24/7/365 On-site Gym and Lockers, Free for Use to All Employees!
Bike Racks
And more!
Arrow is an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, gender, sexual orientation, gender identity, national origin, veteran or disability status. (Arrow EEO/AAP policy)

Location:
US-CO-Denver, Colorado (Panorama Arrow Building)
Time Type:
Full time
Job Category:
Accounting/Finance", CO,C0010
