Rating_Id,Overall_Rating,comp_and_benefits_rating,culture_and_values_rating,career_oppurtunities_rating,worklif_balance_rating,senior_management_rating,Company_Id
R0001,4.7,4.1,5,4.4,4.4,5,C0001
R0002,4.1,3.7,4.3,3.3,3.8,3.4,C0002
R0003,4.3,4.2,4.2,3.8,4.4,4,C0003
R0004,NULL,NULL,NULL,NULL,NULL,NULL,C0004
R0005,2.2,2.2,2.2,2.2,2.5,1.9,C0005
R0006,3.9,4.3,4,3.6,3.4,3.3,C0006
R0007,3.1,3.7,2.7,3.4,2.7,2.7,C0007
R0008,3.4,3.1,3.3,3,3.4,2.7,C0008
R0009,4.2,3.9,4.2,4.3,4,3.9,C0009
R0010,3.1,3.1,2.9,2.8,3.1,2.6,C0010
R0011,3.4,3.1,3.3,3.3,3.4,3.1,C0011
R0012,3.6,3.8,3.4,3.3,3,3.2,C0012
R0013,3.8,3.6,3.6,3.7,3.5,3.3,C0013
R0014,4.3,4.5,4.3,4.3,3.9,4.2,C0014
R0015,3.4,3.8,3.2,3,3.7,3,C0015
R0016,3.2,3.4,3.6,2.6,3.7,3,C0016
R0017,3.8,3.6,3.6,3.6,3.6,3.5,C0017
R0018,3.8,NULL,3.6,3.7,3.9,3.3,C0018
R0019,3.9,3.6,4.1,3.6,4.1,3.7,C0019
R0020,2.9,3.3,3.4,2.8,3.4,2.6,C0020
R0021,3.1,3.2,3.3,3,3.1,2.9,C0021
R0022,3.6,3.4,3.6,3.5,3.3,3.4,C0022
R0023,4.1,4,4.2,4.1,3.8,3.9,C0023
R0024,3.3,3.8,3.2,3.1,3.2,2.8,C0024
R0025,3.9,3.8,3.7,3.8,4,3.7,C0025
R0026,3.7,3.7,3.5,3.6,3.8,3.1,C0026
R0027,3.7,3.3,3.6,3.3,3.4,3,C0027
R0028,3.8,3.8,3.6,3.6,3.4,3.4,C0028
R0029,3.7,3.6,3.8,3.3,4.1,3.1,C0029
R0030,4.3,4.1,4.4,4.4,4.3,4.1,C0030
R0031,3.2,3,3,2.9,3.4,2.9,C0031
R0032,3,3.4,3,2.9,3.2,2.8,C0032
R0033,3.8,3.6,3.7,3.4,4,3.6,C0033
R0034,3.1,3.4,3.2,3,2.7,2.7,C0034
R0035,4.1,4.2,4,4.1,4.2,3.9,C0035
R0036,3.5,3.4,3.7,3.4,3.6,3.3,C0036
R0037,3.7,3.7,3.8,3.6,3.6,3,C0037
R0038,4.6,4.5,4.7,4.2,4.2,4.2,C0038
R0039,3.2,3.3,3.1,3.1,3.4,2.8,C0039
R0040,3.9,NULL,NULL,NULL,NULL,3.4,C0040
R0041,3.5,4,3.9,3.6,4.2,3.2,C0041
R0042,4.3,3.7,4.4,4.1,4.2,4.2,C0042
R0043,3.5,3.4,3.6,3.4,3.3,3,C0043
R0044,2.9,3.7,2.6,2.9,2.8,2,C0044
R0045,3.5,4,3.7,3.5,3.7,3.1,C0045
R0046,3.5,3.8,4,3.5,3.8,3.6,C0046
R0047,3.7,3.8,4.4,3.5,4.3,3.9,C0047
R0048,4.3,4.2,4.1,4.1,3.9,4.1,C0048
R0049,3.7,3.7,3.5,3.2,2.9,3.3,C0049
R0050,3.7,3.5,3.6,3.5,3.5,3.4,C0050
R0051,3.3,3.2,3.2,3.1,3.2,2.6,C0051
R0052,3.9,3.8,3.7,3.8,4,3.7,C0052
R0053,5,4.3,4.9,4.9,4.1,4.9,C0053
R0054,4,3.7,4,3.8,3.9,3.6,C0054
R0055,3.4,3.3,3.6,2.5,4.2,3.2,C0055
R0056,3,3.4,3,2.5,3.4,2.4,C0056
R0057,4,3.8,4,3.5,3.7,3.8,C0057
R0058,4.6,4.3,4.8,4.3,3.7,4.2,C0058
R0059,3.3,3.1,3.1,3.1,3.7,3,C0059
R0060,4.8,3.8,4.8,4.7,4.1,4.1,C0060
R0061,4.4,3,4.4,4.4,5,5,C0061
R0062,2.7,2.9,2.5,2.4,2.6,2.3,C0062
R0063,3.9,3.8,3.9,3.6,3.6,3.3,C0063
R0064,3.7,3.7,3.5,3.6,3.8,3.1,C0064
R0065,4.3,3.8,4.8,4.1,4.7,4.1,C0065
R0066,3.6,3.3,3.6,3.2,3.5,3.1,C0066
R0067,3.3,3.2,3.1,2.3,4,2.6,C0067
R0068,3.3,4.2,3.3,3,3.3,2.6,C0068
R0069,3.4,3,3.6,3.3,3.5,3.5,C0069
R0070,3.9,4.3,4,3.6,3.4,3.3,C0070
R0071,2.6,3.2,3,2.8,2.6,2.3,C0071
R0072,4.6,4.3,4.6,4.7,4.5,4.6,C0072
R0073,4.5,4.2,4.6,4.5,4.1,4.5,C0073
R0074,3.6,4,3.3,3.4,3.4,3.3,C0074
R0075,3.9,3.7,4,3.7,4,3.5,C0075
R0076,3.6,3.3,3.5,3.3,3.7,3.5,C0076
R0077,3.9,3.6,4.1,3.8,3.9,3.7,C0077
R0078,3.4,3.4,3.2,3.1,3.3,3.1,C0078
R0079,3.5,3.6,3.2,3.2,3.2,2.9,C0079
R0080,3.2,4.3,3.2,2.9,3.1,2.8,C0080
R0081,3.8,3.6,3.7,3.4,4,3.6,C0081
R0082,4.3,4.5,4.5,4.3,4.1,4.4,C0082
R0083,3.7,3.8,3.3,3.1,3.6,2.4,C0083
R0084,4.4,4.7,4.4,4.4,3.9,4.1,C0084
R0085,4.6,4.3,4.6,4.5,4.8,4.6,C0085
R0086,3.3,3.4,3.5,3.3,3.6,3.1,C0086
R0087,4.8,NULL,NULL,NULL,NULL,NULL,C0087
R0088,2.7,2.9,2.5,2.4,2.6,2.3,C0088
R0089,3.1,3.2,2.8,2.9,3.3,2.5,C0089
R0090,3.7,3.7,3.8,3.6,3.6,3.2,C0090
R0091,3.7,4,3.5,3.5,3.2,3.4,C0091
