TID,Twitter ID,Followers Count,Friends Count,Verified,Company_id
T0001,@InsightEnt,5686,935,TRUE,C0214
T0002,@coop_finance,4003,942,FALSE,C0302
T0003,@rayconglobal,2397,33,FALSE,C0145
T0004,@uline,3845,3,FALSE,C0080
T0005,@SuccessCharters,11231,1488,TRUE,C0217
T0006,@CAP_slo,118,435,FALSE,C0135
T0007,@BeazleyGroup,4887,231,FALSE,C0436
T0008,@CLAviationGroup,560,148,FALSE,C0383
T0009,@genscoinc,101,8,FALSE,C0124
T0010,@CenlarFSB,92,9,FALSE,C0366
T0011,@Comscore,136782,28480,TRUE,C0098
T0012,@airgas,2205,191,FALSE,C0025
T0013,@IntradoDigital,361,79,FALSE,C0031
T0014,@IEHP_healthcare,1216,1053,FALSE,C0156
T0015,@BankUnited,5446,305,FALSE,C0151
T0016,@Innovyze,1661,1959,FALSE,C0331
T0017,@argo_group,10895,768,TRUE,C0154
T0018,@amfam,42858,4450,TRUE,C0429
T0019,@DentaQuest,3830,2502,TRUE,C0279
T0020,@PeratonCorp,1295,104,FALSE,C0164
T0021,@TennCareRep,1180,122,FALSE,C0329
T0022,@AssociatedEC,96,28,FALSE,C0280
T0023,@quotient,897,1588,FALSE,C0283
T0024,@RevantageS,17,4,FALSE,C0051
T0025,@BankUnited,5446,305,FALSE,C0151
T0026,@SpectrumHealth,12633,1413,FALSE,C0252
T0027,@JDRF,63034,1791,TRUE,C0162
T0028,@hondajet,9986,195,TRUE,C0270
T0029,@NICLofficial,2647,89,FALSE,C0249
T0030,@NavyFederal,81487,351,TRUE,C0006
T0031,@tunneldrb,132,81,FALSE,C0267
T0032,@NCSOFT_West,37436,63,FALSE,C0047
T0033,@CALIBRE_Systems,55,167,FALSE,C0186
T0034,@guardianlife,11780,86,TRUE,C0340
T0035,@veritoneinc,3607,2548,FALSE,C0394
T0036,@PrecisionHawk,13776,1066,FALSE,C0278
T0037,@airship,12694,8203,TRUE,C0075
T0038,@envisionitllc,76,25,FALSE,C0273
T0039,@FHLBankPgh,334,161,FALSE,C0095
T0040,@Urban_Science,283,365,FALSE,C0196
T0041,@AB_insights,22657,813,TRUE,C0346
T0042,@Twitch,6452958,666,TRUE,C0038
T0043,@its_intuitive,199,67,FALSE,C0370
T0044,@CogoLabs,1493,1138,FALSE,C0197
T0045,@CNA_org,5840,1414,FALSE,C0159
T0046,@NEPCtweet,6637,1920,FALSE,C0009
T0047,@centric,2037,1309,FALSE,C0176
T0048,@Ascensionorg,6690,391,FALSE,C0433
T0049,@PTPChicago,782,722,FALSE,C0058
T0050,@greatamericaOEG,1096,511,FALSE,C0315
