Review_Id,summary,pros,cons,Date_of_review,Employee_Status,Employee_Title,Rating_Id
RE001,"""Lives the Values""","Fallon Health is one of those organizations who lives its values. They aren't words on a wall, instead the employees here live and breath them - at all levels within the organization. The community partnerships, dedication to the member populations we serve and how the employees care about each other make it a great place to work!",Fallon Health is an health insurer and the pressures of that industry roll into the workplace.,13-Feb-18,Current Employee , Anonymous,R0001
RE002,"""Great Company!""","ARA's core values are central to all of the decisions that are made. Senior management cares about doing the right thing by employees, patients and physicians which can be a lot to juggle! The company also offers great opportunities to develop and grow.",There are some employees with long held resentment that they hold on to no matter what the company does.,4-Sep-18,Current Employee , Anonymous,R0002
RE003,"""Development Coordiantor""",JDRF is a nice place to work,They have not cured diabetes yet,27-Apr-18,Current Employee , Development Coordinator,R0003
RE004,"""Joy in thinking, doing and growing""",Collaborative thinking is the norm Open and honest communication is the standard You're recognized for your accomplishments Expectations are set and clearly communicated Management is there for help and coaches you to be successful Trust is built and fostered among teammates FUN ENVIRONMENT!!! Excellent company culture I truly enjoyed my time at Rooftop! I quit only because I moved.,Firm deadlines (welcome to the real world). If you don't want to work hard and play hard then consider a career as a professional 6-layer bean dip maker.,25-Jan-18,Former Employee , Administrator,R0004
RE005,"""Northrop Grumman's Overview""",Honors the 9/80 (every other Friday's off) schedule. Great people and flexibility with time. Holidays off are great! Great employee assistance program.,Bad managers acting out of self interest in some areas. People hardly get fired so the problem will always exist somewhere within the company or program.,24-Aug-19,Current Employee , Scheduling Analyst,R0005
RE006,"""Clueless and Dishonest""",It will pay your bills.,"It's a bodyshop with a turn-over rate matched by none. If you work there a year, you'll probably be the most senior person in your section. You'll never see or meet the company owner/CEO and there is never any interaction with them; even via email. Certain project/program managers outright lied to their customers regarding project goals/accomplishments, with upper-level approval. The work environment is tense and unforgiving. If you're called by their HR, run fast and far.",26-Aug-17,Former Employee , Network Engineer,R0006
RE007,"""Great Company, Great People, Great Opportunities!""","The value system at Hargray is incredible with a rewarding focus on taking care of our customers, taking care of our teammates and being accountable for your goals and your actions and always finding ways to improve....in other words our people have a passion and we love what we do!",I have not found any Cons,18-Oct-19,Current Employee , General Manager,R0007
RE008,"""New Management, New Ownership""","As of January 2019, XALT is now part of the Freudenberg Group, a family owned, $10 billion global manufacturing company. XALT’s business is booming and the new CEO and management team is committed to steady and sustainable growth, Lean/Six Sigma, Safety, and long-term financial stability.",None I can think of at this time.,15-Aug-19,Current Employee , Purchasing,R0008
RE009,"""new leadership making positive changes""","1. Focus on product, employee training, and great people 2. History of innovation and great customer support",1. Competitive threats and need to invest in new capabilities 2. Many remote workers - hard to collaborate at times,12-Apr-19,Current Employee , Sales,R0009
RE010,"""Fun and great internship program""",Networking events Team-building events Lunch with Executives Great mentorship program Perks and discounts Free parking Great co-workers Opportunities to learn and expand knowledge Structured and fast-paced internship program Interns get to work on actual projects for the company,The quality of the summer internship depends on the mentor and the projects assigned for the internship,1-Mar-19,Former Employee , Intern,R0010
RE011,"""No more dreaded Monday mornings...""","...because I actually enjoy coming to work! VRI provides an incredible opportunity for professional growth and development. The leadership team deliberately listens to your career goals, strengths, and passions and they do their best to create an environment where you are able to gain valuable experiences, learn new skills, and have fun while doing it! Personally, I thrive in an environment where I am challenged to think outside the box and am constantly learning new skills. VRI has certainly hit the mark in providing me with this work experience. It helps that the benefits and pay are competitive, and the hours are flexible too!","I wish I could think of any at this point, but none come to mind. I love what I do, and am energized to come to work every day.",19-Jul-19,Current Employee , Director,R0011
RE012,"""Best place to work for!""","Super flexible, unlimited payed time off! Equiscript has a fun committee that plans fun activities every other month. Work hard, play hard work place.",Lead quality fluctuates. Sometime there is lack of communication amongst leadership.,6-Sep-19,Former Employee , Internal Sales Representative,R0012
RE013,"""Great for a first job""","Very flexible hours, low stress job, fun work environment","low pay, lack of benefits",11-Mar-19,Former Employee , Contract,R0013
RE014,"""I'm in my first year at HomeServe and loving it.""",The culture is fun and you can tell that they really care about people. I've worked at places where they just say it but this is real. The company is growing so there is lots of opportunity if you're driven.,The company is growing fast so things can feel a little hectic because so much is changing.,14-Feb-20,Current Employee , Anonymous,R0014
RE015,"""Great Experience with and Amazing Credit Union""",Real World Experience Friendly Environment Career help and focus Great work/ life balance Encourages health and wellness,Traffic Long days Parking garage is narrow,1-Aug-19,Current Employee , IT Design,R0015
RE016,"""Amazing Place to work for.""",Everyone is very helpful and knowledgeable. Willing to learn and teach.,I did not find any cons.,20-Jan-20,Former Employee , Customer Service Representative,R0016
RE017,"""Couldn't ask for a better group of people""",An extremely comfortable place to work and grow as a professional. Great group of talented and driven individuals from many backgrounds. I feel lucky to be one of them.,"None as of yet. All places of work aren't perfect, but this is pretty close. When we fail we find better ways of moving forward and it gets better every day.",26-Aug-19,Current Employee , Frontend Engineer,R0017
RE018,"""Avoid working at the Distribution Center. Corporate office and Warehouse has a major disconnect with communication.""",Most contacts were nice to work with.,"Work you like slaves, always in a hurry yet want accuracy. Don't expect holiday's off that are on paper.",9-Jan-14,Former Employee , Qct Supervisor,R0018
RE019,"""LOVE MY JOB""","I love working for a company that invests in its employees. From our amazing HQ and catered lunches to a gym membership stipend to keep everyone healthy/active, this company goes the extra mile to make sure healthy employees make happy employees. There is an open door policy throughout the company, all you have to do is ASK. I love working for such a forward thinking company that is truly making a difference in the health of consumers. There is a reason we get so many people asking to work at Vital.","Fast-paced, which is not a CON at all. If you love being able to think freely, share ideas, and move fast to execute.....this is the company for you.",26-Feb-20,Current Employee , Account Manager,R0019
RE020,"""Mission Driven, Pilot Friendly Organization""","Being a non-profit, AOPA's strength is that it is mission-focused and makes decisions and adapts to a changing landscape in order to do what's right for aviation as a whole, not just a set of stakeholders. That means that change is inevitable, as the problems facing general aviation are incredibly complex and can't be solved with one solution. Creativity is welcomed, as is a take-charge mentality that many companies shy away from in their staff. The benefits are great, the flying perks are outstanding, and the culture is work-life balance focused. AOPA isn't perfect, but it's a breath of fresh air compared to companies that focus on leaning expenses, putting employee satisfaction on the bottom of the priority list. The CEO, Mark Baker, is also very forward-thinking and welcomes new ideas to old problems. The difference can be seen with the initiatives and changes that have gained momentum under his leadership.","As with any company, there are people at AOPA who do not want to change, who see new people as a threat, and who get complacent in their high-ranking titles, earned by tenure. No doubt negative reviews hang on frustrations caused by those people, justifiably. But that being said, the challenging few are overshadowed by genuinely good people with great ideas. Under Baker's leadership, the organization is making some real headway and heading in the right direction. Pay is also pretty low for newcomers, especially in comparison with the tenured employees who have had steady pay increases over 10+ years, but the great benefits and free flying money help make up for the con.",21-Nov-16,Current Employee , Anonymous,R0020
RE021,"""Analyst for Company""",they work really hard to have a great culture,lower end of salary for industry,19-Dec-19,Former Employee , Supply Chain Analyst,R0021
RE022,"""Fantastic Company""","The people are friendly, reasonable, and knowledgeable. If you put in earnest effort, the company will treat you extremely well.",I cannot think of any cons.,3-Jan-20,Current Employee , Mechanical Design Engineer,R0022
RE023,"""Nimble, patient and provider focused organization""","Organization is focused on executing quickly and delivering results for their network. Small enough company that you have exposure to all business units and leaders, but has significant credibility in the industry and continues to excel at what they do.","Like many sectors of healthcare, there's a lot of change, consolidation and reorgs happening. Brown & Toland is no exception.",29-Jan-20,Former Employee , Management,R0023
RE024,"""Flexibility, great co-workers, and supportive management.""","- CEO is my hero with her belief that tech jobs are moving in the direction of remote employment, and implementing more pro-remote work policies. This shows trust, and that's huge! Less time commuting? Yes please. - On that same note, I feel trusted and respected by my managers, which increases my productivity. No micro-managing, which is the #1 complaint I hear about managers elsewhere. - I believe firmly in OCHIN's mission of health equity, and get warm fuzzy feelings whenever I describe to someone what we do. - Workload IS manageable, but that may depend on team/department. - Benefits are decent.","- It seems like different teams/departments have different styles of management, and a lot of the less-than-positive reviews come from folks who DO feel micromanaged or not trusted. How can we lift these valuable employees up? - Growing pains exist, but I haven't personally felt terribly affected by this.",7-Nov-19,Current Employee , Data Analyst,R0024
RE025,"""Great Benefits, high potential for upward mobility""","Culture, Benefits, people, and great industry","Red tape, but you adapt",17-Sep-19,Current Employee , Specialist ,R0025
RE026,"""Opportunity to get hands on with data and grow professionally""","- Incredibly bright people and leadership - leadership has deep IT experience across the world's leading banks - Flat organizational structure and ""startup"" feel ensures that your work is impactful - Leadership is extremely accessible - Get to work with interesting data sets across the real estate life cycle for the largest real estate portfolio in the world - Able to see, build, and manage the complete data life cycle with state-of-the-art data technologies",NULL,26-Jul-19,Current Employee , Data Consultant,R0026
RE027,"""So far a great place to work at""",Great team to work with Management cares about their employees Good work atmosphere Good work/life balance,Slow decision process. Business Process units apparently are lacking enough personnel,13-Apr-19,Current Employee , Anonymous,R0027
RE028,"""Great Place to Work!""","Great salary, great benefits, great people and pretty diverse for an Asset Management company.",You give up a lot in terms of location to work there. Also the hours are sometimes long.,24-Aug-19,Current Employee , Supervisor,R0028
RE029,"""Great company and culture""",NULL,NULL,3-Apr-19,Former Employee , Tax Specialist,R0029
RE030,"""Great company and opportunities""","Amazing opportunities to get involved with activities, groups and initiatives outside your normal sphere of influence. While a large organization, local operations allow for each location to operate independently and align with local culture and priorities. Lots of room to show great impacts.","As an international company, there are lots of opportunities to advance in career; however, that also means that you have to relocate if you would like to quickly move up.",13-Apr-17,Current Employee , Senior Operations Manager,R0030
RE031,"""Great Culture""",Open space work area Many ways to evolve and build your career Diverse projects,Sometimes frequency of re-assignment on new project makes some more focus on learning new stuff than coding,21-Feb-20,Current Employee , Technology Lead ,R0031
RE032,"""Company Review""","Great company! Treats its employees really well. Lots of growth opportunities. Good healthcare, wellness programs. Wonderful diversity in the office. Every one is down to earth.","The free coffee could be better, but hey what couldn't be better, right?",7-Oct-16,Current Employee , Data Analyst,R0032
RE033,"""One of the best employers in DFW.""",Wonderful people to work for. They really do care for their employees and their career development.,It takes a while to get an interview after submitting an application.,12-Feb-20,Current Employee , Internal Auditor,R0033
RE034,"""A culture for everyone""",NULL,"- Work could be tedious sometimes - If you are working with a team, sometimes they might hesitate to pass the work along due to person's (I WANT TO DO IT ON MY OWN) nature but its not that bad",24-Jan-20,Current Employee , Junior Talent Sourcer,R0034
RE035,"""Only part for a short while but it went well""","Home base, really understanding boss",home base work setting has the tendency to also disturb own home life,3-Jun-18,Current Employee , Anonymous,R0035
RE036,"""Great culture!""",Flexibility and openness. Leadership supports their people.,Firm direction can be fuzzy sometimes.,9-Sep-19,Current Employee , Senior Manager,R0036
